date,time,Fuso horário,format,text,favorite,date_utc,time_utc,notes,details
10-12-2024,17:22:04,Horário Padrão de Brasília,QR_CODE,35241043017003000140590011359531936623923438|20241005160501|9.00||njgu,0,10-12-2024,17:22:04,,
10-12-2024,17:22:01,Horário Padrão de Brasília,QR_CODE,35241043017003000140590011359531936646000220|20241005161033|29.20||y1ohKu256ftYXv7VDQQdd7ip5B2saHVBwxH1vgnqZMd,0,10-12-2024,17:22:01,,
10-12-2024,17:21:58,Horário Padrão de Brasília,QR_CODE,35241043017003000140590011359531936679505771|20241005161331|6.00||XsBEldLYeZrkERUimuBak1U4zNNxjvnCDSi/4aRGmnTcRmzfKnGyQRyBW7mWGR4pkgqs,0,10-12-2024,17:21:58,,
10-12-2024,17:21:55,Horário Padrão de Brasília,QR_CODE,35241043017003000140590011359531936707921428|20241005161937|10.00||nWz2bgH2cCNLSRkKv8DMT3lAoj954AW5/3U0hPVXUUNhIuaJVtClPkeuqJAE/04O9LbMxOkyfxbXQ1wZhhgsbCRJrBejAm,0,10-12-2024,17:21:55,,
10-12-2024,17:21:48,Horário Padrão de Brasília,CODE_128,35241043017003000140590011359531936646000220,0,10-12-2024,17:21:48,,
10-12-2024,17:21:44,Horário Padrão de Brasília,QR_CODE,35241043017003000140590011359531936771525562|20241005163112|14.99||AQwL75hV2Zd8zPv3niRWovpnkOgVxVlu2cjxapsesmY4w9Juw4fTGiI1JzfqgD5hEIPXUwQclXTOh5tSITeWwiuXzFOvIIL8xmtsYrvh5kgh6cJphVHX6,0,10-12-2024,17:21:44,,
10-12-2024,17:21:40,Horário Padrão de Brasília,QR_CODE,35241043017003000140590011359531936796925637|20241005163747|158.30||dcByNzm/3Ba8HE4Xq2UNxWTVxy3fvevnWfSO,0,10-12-2024,17:21:40,,
10-12-2024,17:21:37,Horário Padrão de Brasília,QR_CODE,35241043017003000140590011359531936802547155|20241005163916|106.50||jnTI7mxZkn1VLIqdIPiySKKBEnxyDFPdnprWEnS24WI6YEEwSy8qFJSuyYw9hV//JAFfIdJQRosZZSFrqKHEHbo5/NIe/2myZG7axufq2Yuyrgnbt1IxGiFTf/ZtMfWZ7ZA/Ab2G/Aw4vAUME1mzj7LXg9tDTrNFt1MUAL1Rwo84dRnMtL5n1mlwAYwWVlMerA,0,10-12-2024,17:21:37,,
10-12-2024,17:21:34,Horário Padrão de Brasília,QR_CODE,35241043017003000140590011359531936824978809|20241005164120|9.00||LNOqNozZBQ57WCtVGWpB5JR7NzBSxyU8U9zlxXH9SmCfEdXlc5Ulq4Pa8Puk3R05Cebz6UqEtp4xRcrwoONW8Q8ZrtmQsn3Hdjm/z1jf7n9cwOXz12SrFf6qQBdD1jZcRYVlivTo56IEwZ2tW9Aka51q8xA6dQbg/bEI,0,10-12-2024,17:21:34,,
10-12-2024,17:21:30,Horário Padrão de Brasília,QR_CODE,35241043017003000140590011359531936864747778|20241005165001|119.12||KjFKuw4AxhabbY8sB47A2UjB1V0Hxhu3Ad8HjOf/dPD8XFtVLcQg0MsNiiq98w5fRzwyQWpDuWN01xMTg1w0I1GQpEnCK0,0,10-12-2024,17:21:30,,
