date,time,Fuso horário,format,text,favorite,date_utc,time_utc,notes,details
10-12-2024,07:26:48,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531906761401648|20240928092521|44.00||ojOflNo7bHYBvUiZD747KwPk3z6ViJ2kbYDvPTCGw5bNFke1EGc6rB/kHRH35yFdLRTl1Pb2qifz3KJRELy1VIKVpkG8WKWatjhDjQtKJhkCotb,0,10-12-2024,07:26:48,,
10-12-2024,07:26:45,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531906776330644|20240928092814|49.90||BYsRzvPXqjO0x9TWzOchnmNIo3aw7PB/N0SrCENUWoQT0mBbqGRjjaxjH,0,10-12-2024,07:26:45,,
10-12-2024,07:26:37,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531906956387849|20240928102514|7.50||xZ65Dvi7j2xBOERdVszbzG1V7iGy2N48GuH3pyDwqWpC2fyfjVn6IZOFMTN7U7ixkKUA85R76xLS02NU/cZbsIhNbG/DPuxp0or38Mhg1UDd6GaxqWdsyd1cVWwy9sMh/SghMt5CvcU/9CqXnlrxKmJwKZTmyeV9s5hy7fGkLLumI,0,10-12-2024,07:26:37,,
10-12-2024,07:26:32,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531906971508228|20240928102658|40.00||dgalxQRT0WKe2tqgdCeMHJn4fZ0fQXUT5VwVGkfiN8M0DjIvJIB8yiarfSX/jejGCKSI9aPnoO,0,10-12-2024,07:26:32,,
10-12-2024,07:26:26,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531906991963192|20240928103530|22.80||Tx,0,10-12-2024,07:26:26,,
10-12-2024,07:26:20,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907018803522|20240928104143|16.00||tbGDs5,0,10-12-2024,07:26:20,,
10-12-2024,07:26:15,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907033935221|20240928105204|141.50||m33yaY2vDZwdzl2YrDyNVSDLOBEAY/fh,0,10-12-2024,07:26:15,,
10-12-2024,07:26:11,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907077479000|20240928105648|3.50||MsPjIrNxyjRlZ7z,0,10-12-2024,07:26:11,,
10-12-2024,07:26:07,Horário Padrão de Brasília,UPC_A,107809004670,0,10-12-2024,07:26:07,,
10-12-2024,07:26:02,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907081741040|20240928105819|8.50||mvzpK5/DZLX3gYBeNihK0IELcziPeeAgywV4rpWbtj5AeTjJANbc6prtGpu5Ulj2dYQJwBZ64tabjpth,0,10-12-2024,07:26:02,,
